"","Sentence","Subject","Length_of_sentence_recording","Expected_length_of_Recording","Length_of_Recording","Unexpected_Overspill"
"46","Sarah_engels_Mary_chooses_a_coat_0.wav","13c98e912212b5f35940704e0b0888ba",1843,4543,4195,-348
"47","Sarah_engels_Mary_chooses_a_coat_0.wav","1615981459",1843,4543,4558,15
"48","Sarah_engels_Mary_chooses_a_coat_0.wav","46c3b725b7b943366f24bc420b0d72a7",1843,4543,4194,-349
"49","Sarah_engels_Mary_chooses_a_coat_0.wav","7304b0bf72856db551282e1c54fbf7eb",1843,4543,4258,-285
"50","Sarah_engels_Mary_chooses_a_coat_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1843,4543,4265,-278
"51","Sarah_engels_Mary_chooses_a_coat_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1843,4543,4693,150
"52","Sarah_engels_Mary_chooses_a_coat_0.wav","920a27b518e889e62252ffb5766b8a71",1843,4543,4750,207
"53","Sarah_engels_Mary_chooses_a_coat_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1843,4543,4274,-269
"54","Sarah_engels_Mary_chooses_a_coat_0.wav","f8c19b269a3307cc3794c234603144f8",1843,4543,4224,-319
"55","Sarah_engels_Mary_climbs_a_wall_0.wav","13c98e912212b5f35940704e0b0888ba",1666,4366,4666,300
"56","Sarah_engels_Mary_climbs_a_wall_0.wav","1615981459",1666,4366,4753,387
"57","Sarah_engels_Mary_climbs_a_wall_0.wav","46c3b725b7b943366f24bc420b0d72a7",1666,4366,4659,293
"58","Sarah_engels_Mary_climbs_a_wall_0.wav","7304b0bf72856db551282e1c54fbf7eb",1666,4366,4687,321
"59","Sarah_engels_Mary_climbs_a_wall_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1666,4366,4698,332
"60","Sarah_engels_Mary_climbs_a_wall_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1666,4366,5296,930
"61","Sarah_engels_Mary_climbs_a_wall_0.wav","920a27b518e889e62252ffb5766b8a71",1666,4366,5507,1141
"62","Sarah_engels_Mary_climbs_a_wall_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1666,4366,4715,349
"63","Sarah_engels_Mary_climbs_a_wall_0.wav","f8c19b269a3307cc3794c234603144f8",1666,4366,4665,299
"64","Sarah_engels_Mary_closes_a_window_0.wav","13c98e912212b5f35940704e0b0888ba",1900,4600,4539,-61
"65","Sarah_engels_Mary_closes_a_window_0.wav","1615981459",1900,4600,4500,-100
"66","Sarah_engels_Mary_closes_a_window_0.wav","46c3b725b7b943366f24bc420b0d72a7",1900,4600,4555,-45
"67","Sarah_engels_Mary_closes_a_window_0.wav","7304b0bf72856db551282e1c54fbf7eb",1900,4600,4582,-18
"68","Sarah_engels_Mary_closes_a_window_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1900,4600,4526,-74
"69","Sarah_engels_Mary_closes_a_window_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1900,4600,4755,155
"70","Sarah_engels_Mary_closes_a_window_0.wav","920a27b518e889e62252ffb5766b8a71",1900,4600,4558,-42
"71","Sarah_engels_Mary_closes_a_window_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1900,4600,4594,-6
"72","Sarah_engels_Mary_closes_a_window_0.wav","f8c19b269a3307cc3794c234603144f8",1900,4600,4531,-69
"73","Sarah_engels_Mary_cuts_a_cheese_0.wav","13c98e912212b5f35940704e0b0888ba",1841,4541,4386,-155
"74","Sarah_engels_Mary_cuts_a_cheese_0.wav","1615981459",1841,4541,4770,229
"75","Sarah_engels_Mary_cuts_a_cheese_0.wav","46c3b725b7b943366f24bc420b0d72a7",1841,4541,4380,-161
"76","Sarah_engels_Mary_cuts_a_cheese_0.wav","7304b0bf72856db551282e1c54fbf7eb",1841,4541,4431,-110
"77","Sarah_engels_Mary_cuts_a_cheese_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1841,4541,4441,-100
"78","Sarah_engels_Mary_cuts_a_cheese_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1841,4541,5771,1230
"79","Sarah_engels_Mary_cuts_a_cheese_0.wav","920a27b518e889e62252ffb5766b8a71",1841,4541,5266,725
"80","Sarah_engels_Mary_cuts_a_cheese_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1841,4541,4480,-61
"81","Sarah_engels_Mary_cuts_a_cheese_0.wav","f8c19b269a3307cc3794c234603144f8",1841,4541,4418,-123
"82","Sarah_engels_Mary_designs_a_skirt_0.wav","13c98e912212b5f35940704e0b0888ba",1846,4546,4435,-111
"83","Sarah_engels_Mary_designs_a_skirt_0.wav","1615981459",1846,4546,4653,107
"84","Sarah_engels_Mary_designs_a_skirt_0.wav","46c3b725b7b943366f24bc420b0d72a7",1846,4546,4476,-70
"85","Sarah_engels_Mary_designs_a_skirt_0.wav","7304b0bf72856db551282e1c54fbf7eb",1846,4546,4576,30
"86","Sarah_engels_Mary_designs_a_skirt_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1846,4546,4464,-82
"87","Sarah_engels_Mary_designs_a_skirt_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1846,4546,4750,204
"88","Sarah_engels_Mary_designs_a_skirt_0.wav","920a27b518e889e62252ffb5766b8a71",1846,4546,4549,3
"89","Sarah_engels_Mary_designs_a_skirt_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1846,4546,4534,-12
"90","Sarah_engels_Mary_designs_a_skirt_0.wav","f8c19b269a3307cc3794c234603144f8",1846,4546,4490,-56
"91","Sarah_engels_Mary_draws_a_lock_0.wav","13c98e912212b5f35940704e0b0888ba",1554,4254,4552,298
"92","Sarah_engels_Mary_draws_a_lock_0.wav","1615981459",1554,4254,4633,379
"93","Sarah_engels_Mary_draws_a_lock_0.wav","46c3b725b7b943366f24bc420b0d72a7",1554,4254,4559,305
"94","Sarah_engels_Mary_draws_a_lock_0.wav","7304b0bf72856db551282e1c54fbf7eb",1554,4254,4692,438
"95","Sarah_engels_Mary_draws_a_lock_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1554,4254,4650,396
"96","Sarah_engels_Mary_draws_a_lock_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1554,4254,4797,543
"97","Sarah_engels_Mary_draws_a_lock_0.wav","920a27b518e889e62252ffb5766b8a71",1554,4254,5207,953
"98","Sarah_engels_Mary_draws_a_lock_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1554,4254,4679,425
